127.0.0.1 - - [20/Jan/2020:09:22:15 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:22:16 +0530] "GET /BootStramp1/ HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:22:49 +0530] "GET /BootStramp1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:23:00 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:25:48 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:42:40 +0530] "GET /BootStramp1/register.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:42:47 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:19 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:24 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:32 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:32 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:45:30 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:45:32 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:49:44 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:49:47 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:11 +0530] "GET /BootStramp1/lregister1.html HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:16 +0530] "GET /BootStramp1/lregister1.html HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:23 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:40 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:43 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:45 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
